nextMktCl,RP_ESS_MEAN,News_volumn,News_buzz
2005-07-05 16:00:00,0.7625,6,1.9780719560623126
2005-07-06 16:00:00,0.04999999999999999,4,0.8645176928904247
2005-07-07 16:00:00,0.5,2,-0.33830109481411447
2005-07-12 16:00:00,,2,-0.280185517818688
2005-07-13 16:00:00,0.48666666666666664,11,4.122385038889803
2005-07-15 16:00:00,-0.24,2,-0.29594575958687436
2005-07-16 16:00:00,0.0,2,-0.29594575958687436
2005-07-19 16:00:00,0.5700000000000001,9,2.648969291555583
2005-07-20 16:00:00,0.41,1,-0.7850240331996857
2005-07-21 16:00:00,,1,-0.7850240331996857
2005-07-22 16:00:00,,1,-0.7489394369674623
2005-07-23 16:00:00,,1,-0.729181729086172
2005-07-26 16:00:00,0.36000000000000004,11,2.89046050046736
2005-07-27 16:00:00,-0.017166666666666656,87,5.210535395225857
2005-07-28 16:00:00,0.0009090909090909098,18,0.7455928569614243
2005-07-29 16:00:00,0.52,1,-0.3346695210224575
2005-08-02 16:00:00,-0.48,4,-0.14620981987505013
2005-08-03 16:00:00,-0.505,2,-0.2733487936794416
2005-08-04 16:00:00,-0.4937500000000001,9,0.16102961121748197
2005-08-05 16:00:00,,5,-0.09970990431329173
2005-08-06 16:00:00,,1,-0.3542883834110579
2005-08-09 16:00:00,,6,-0.04461692557192058
2005-08-10 16:00:00,-0.5466666666666667,9,0.13189657048836131
2005-08-11 16:00:00,-0.10400000000000001,6,-0.0703770326841863
2005-08-12 16:00:00,,1,-0.3878344729342492
2005-08-13 16:00:00,,1,-0.38540219150493843
2005-08-16 16:00:00,0.0,5,-0.13872459229127623
2005-08-17 16:00:00,0.52,1,-0.38999749360671754
2005-08-18 16:00:00,-0.49,2,-0.32845474313800355
2005-08-19 16:00:00,0.0,3,-0.26447005291631454
2005-08-23 16:00:00,0.0,10,0.17481253179062212
2005-08-25 16:00:00,-0.49,1,-0.3936093409894304
2005-08-26 16:00:00,-0.48,1,-0.39117135625443167
2005-08-30 16:00:00,0.72,4,-0.2043283738372273
2005-09-01 16:00:00,-0.49,3,-0.2511347962434117
2005-09-02 16:00:00,0.5,1,-0.3764156915706514
2005-09-03 16:00:00,-0.51,1,-0.3740065612933484
2005-09-06 16:00:00,,2,-0.2950186313369334
2005-09-07 16:00:00,,1,-0.35869171723699095
2005-09-08 16:00:00,-0.48,1,-0.35869171723699095
2005-09-13 16:00:00,0.03799999999999998,9,0.13397846649124878
2005-09-14 16:00:00,,1,-0.3764156915706514
2005-09-15 16:00:00,,1,-0.3547842825905762
2005-09-16 16:00:00,0.55,5,0.2967741109651167
2005-09-20 16:00:00,0.49,1,-0.7784609470818727
2005-09-27 16:00:00,,2,-0.4497442754839517
2005-09-28 16:00:00,0.49,3,-0.09233784221003864
2005-10-04 16:00:00,-0.51,4,0.23141940277671946
2005-10-05 16:00:00,-0.49,3,-0.04984981729645741
2005-10-06 16:00:00,0.1366666666666667,3,-0.025144015103615858
2005-10-07 16:00:00,,1,-0.7794644682120893
2005-10-11 16:00:00,0.19,4,0.3846546290810393
